methodID;algoId;nb_prims;nb_refs;nb_stms;total_time;nb_symb_heap_typ_vars;nb_symb_heap_mut_refs;nb_symb_heap_const_refs;nb_symb_heap_mut_rel_vars;nb_symb_heap_const_rel_vars;nb_scfg_locations;nb_scfg_transitions;nb_scfg_variables;nb_scfg_state_variables;nb_scfg_input_variables;nb_scfg_contr_variables;max_scfg_in_degree;max_scfg_out_degree;model_instantiation_time;support_size;scfg_generation_time;synthesis_time;triangularization_time;summarization;unsat_guard;true_guard
java.util.Collections$ReverseComparator_clinit.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;2;4;343.0;1;1;0;0;0;5;4;8;5;2;1;1;1;14720;0;158;134;51;done;false;true
java.util.Arrays_fill_java.lang.Object_arr_int_int_java.lang.Object.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;4;3;8;16350.0;2;0;2;4;1;10;11;38;29;2;7;3;2;17730;11;4471;11530;349;done;false;true
java.util.ArrayList$SubList$1_hasNext.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;3;3;8;6640.0;2;1;1;4;0;10;11;30;24;2;4;2;2;16910;3;1984;4512;144;done;false;true
java.io.DataInputStream_readByte.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;2;4;8;10438.0;3;2;1;7;0;10;11;38;32;2;4;2;2;7426;3;3069;6681;688;done;false;true
java.util.TreeMap$KeyIterator_next.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;4;3;6447.0;3;2;1;11;0;4;3;50;40;2;8;1;1;17000;3;3409;2425;613;done;false;false
java.lang.Math_abs_long.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;3;1;6;1742.0;0;0;0;0;0;8;9;12;8;2;2;2;2;15629;1;226;1422;94;done;false;true
java.util.Arrays$NaturalOrder_compare_java.lang.Object_java.lang.Object.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;1;5;3;15026.0;4;1;3;14;3;4;3;69;56;2;11;1;1;17230;15;5962;7648;1416;done;false;true
java.util.Formatter_init_java.lang.Appendable_java.util.Locale.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;5;3;28173.0;4;1;3;17;0;4;3;93;69;2;22;1;1;7822;15;7629;16930;3614;done;false;false
java.io.ExpiringCache$Entry_val.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;3;2;1939.0;2;1;1;4;0;3;2;31;22;2;7;1;1;14970;3;214;1533;192;done;false;true
java.io.ObjectOutputStream$BlockDataOutputStream_flush.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;3;4;3326.0;2;1;1;5;0;5;4;25;20;2;3;1;1;14870;3;1917;1306;103;done;false;false
java.nio.file.FileTreeIterator_hasNext.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;2;5;13;21738.0;4;3;1;11;0;16;19;49;43;2;4;2;2;26550;3;3668;17890;180;done;false;false
java.util.HashMap_newNode_int_java.lang.Object_java.lang.Object_java.util.HashMap$Node.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;1;6;3;110520.0;5;1;4;28;5;4;3;148;112;2;34;1;1;29140;30;19200;53530;37790;done;false;true
java.util.WeakHashMap_getTable.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;3;3;5612.0;2;1;1;4;0;4;3;31;22;2;7;1;1;15990;3;3577;1797;238;done;false;true
java.util.TreeMap$EntrySpliterator_tryAdvance_java.util.function.Consumer.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;3;10;24;29510.0;9;7;2;69;0;27;36;189;179;2;8;4;5;0;0;29510;0;0;skipped;null;null
java.nio.CharBuffer_put_char_arr_int_int.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;7;4;15;58323.0;3;1;2;3;0;18;21;49;36;2;11;3;2;19080;8;3859;53320;1144;done;false;true
java.io.InputStream_mark_int.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;1;2;1;937.0;1;0;1;1;0;2;1;15;10;2;3;1;1;3657;4;542;320;75;done;false;true
java.util.HashMap$EntryIterator_init_java.util.HashMap.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;3;3;12816.0;2;0;2;4;0;4;3;45;29;2;14;1;1;15650;8;3399;7899;1518;done;false;true
java.io.ObjectInputStream$BlockDataInputStream_close.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;1;3;8;5510.0;2;1;1;4;0;10;11;26;21;2;3;2;2;5261;3;2063;3330;117;done;false;true
java.util.TreeMap_predecessor_java.util.TreeMap$Entry.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;8;19;27010.0;7;6;1;70;0;23;32;182;172;2;8;3;3;0;0;27010;0;0;skipped;null;null
java.util.Formatter$FormatSpecifier_init_java.util.Formatter_java.util.regex.Matcher.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;19;15;65;40460.0;14;11;3;154;0;68;83;418;394;2;22;6;7;0;0;40460;0;0;skipped;null;null
java.io.PushbackInputStream_close.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;4;8;8766.0;3;2;1;12;0;10;11;44;39;2;3;2;2;10740;3;3473;4658;635;done;false;true
java.util.TreeMap$Values_size.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;1;3;3;2397.0;2;1;1;4;0;4;3;26;20;2;4;1;1;3479;3;1613;679;105;done;false;true
java.io.PrintStream_println.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;2;2;1679.0;1;0;1;1;0;3;2;14;9;2;3;1;1;3138;3;1115;477;87;done;false;true
java.lang.String_clinit.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;3;6;3269.0;2;2;0;2;0;7;6;15;12;2;1;1;1;4013;0;3070;143;56;done;false;true
java.util.Comparators$NaturalOrderComparator_compare_java.lang.Comparable_java.lang.Comparable.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;1;4;2;16447.0;3;0;3;9;3;3;2;62;46;2;14;1;1;16460;18;5144;9229;2074;done;false;true
java.util.LinkedHashMap$LinkedKeySet_clear.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;3;3;2463.0;2;1;1;4;0;4;3;23;18;2;3;1;1;14770;3;1754;614;95;done;false;true
java.io.File_isHidden.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;4;5;15;18213.0;4;3;1;4;0;19;24;37;31;2;4;2;2;20820;3;2244;15799;170;done;true;false
java.io.File_init_java.net.URI.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;7;21;54;76420.0;20;18;2;329;0;57;74;748;737;2;9;8;9;0;0;76420;0;0;skipped;null;null
java.util.Spliterators$EmptySpliterator$OfRef_init.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;2;2;744.0;1;0;1;0;0;3;2;16;9;2;5;1;1;3269;2;171;460;113;done;false;true
javax.security.auth.Subject$SecureSet$1_init_javax.security.auth.Subject$SecureSet_java.util.LinkedList.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;6;7;45270.0;5;2;3;26;0;8;7;114;90;2;22;1;1;19900;15;9705;31760;3805;done;false;true
java.util.Formatter$FormatSpecifier_printString_java.lang.Object_java.util.Locale.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;5;14;28;67830.0;13;10;3;117;2;32;39;311;296;2;13;3;3;0;0;67830;0;0;skipped;null;null
java.io.SerialCallbackContext_setUsed.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;2;2;1667.0;1;0;1;1;0;3;2;14;9;2;3;1;1;3186;3;1115;464;88;done;false;true
java.io.ByteArrayOutputStream_toString.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;1;4;5;2331.0;3;2;1;3;0;6;5;29;22;2;5;1;1;15320;3;463;1748;120;done;false;false
java.lang.Boolean_toString.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;1;3;6;3312.0;2;1;1;1;0;8;9;22;16;2;4;2;2;15810;2;461;2727;124;done;false;true
java.security.Provider_implClear.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;8;18;18660.0;7;6;1;70;0;22;27;172;167;2;3;2;2;0;0;18660;0;0;skipped;null;null
java.util.HashMap$TreeNode_untreeify_java.util.HashMap.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;7;13;14130.0;6;4;2;46;0;16;19;143;127;2;14;3;2;0;0;14130;0;0;skipped;null;null
java.util.Hashtable$Enumerator_nextElement.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;3;9;29;2.4738072E7;8;7;1;69;0;33;42;186;176;2;8;3;3;296000;3;33220;24700000;4852;done;false;true
java.security.Provider_check_java.lang.String.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;4;5;21254.0;3;1;2;5;0;7;8;38;29;2;7;2;2;17900;8;1946;18890;418;done;false;true
java.security.SecureRandom_clinit.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;3;2;12;884.0;1;1;0;1;0;14;17;15;12;2;1;2;3;16200;0;632;165;87;done;false;true
java.io.PrintWriter_print_float.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;1;3;3;2507.0;2;1;1;4;0;4;3;24;19;2;3;1;1;3277;4;1225;1180;102;done;false;false
java.util.Formatter$Flags_add_java.util.Formatter$Flags.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;3;3;5;2788.0;2;0;2;0;1;6;5;27;18;2;7;1;1;15840;5;437;2087;264;done;false;true
java.io.FileSystem_clinit.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;4;1;9;1907.0;0;0;0;0;0;10;9;9;6;2;1;1;1;14730;0;196;1622;89;done;true;false
java.nio.charset.CharsetDecoder_implFlush_java.nio.CharBuffer.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;4;2;6452.0;3;1;2;6;0;3;2;46;33;2;11;1;1;15170;8;2968;2641;843;done;false;true
java.util.TreeMap_size.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;1;2;2;1951.0;1;0;1;1;0;3;2;17;11;2;4;1;1;16090;3;1074;748;129;done;false;true
java.util.ArrayDeque$DeqIterator_init_java.util.ArrayDeque.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;2;5;10;34398.0;4;2;2;19;0;11;10;83;67;2;14;1;1;17380;8;5803;27000;1595;done;false;true
java.util.AbstractMap$SimpleImmutableEntry_getValue.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;3;2;4409.0;2;1;1;5;0;3;2;35;25;2;8;1;1;16190;3;2476;1207;726;done;false;true
java.util.BitSet_checkInvariants.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;16;9;39;298782.0;8;7;1;14;0;41;58;79;74;2;3;4;10;52770;3;12620;285800;362;done;false;true
java.lang.OutOfMemoryError_init_java.lang.String.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;3;2;2084.0;2;0;2;1;0;3;2;25;16;2;7;1;1;14580;5;356;1489;239;done;false;true
java.lang.Short_compareTo_java.lang.Short.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;3;3;4;2024.0;2;0;2;0;1;5;4;21;15;2;4;1;1;14840;5;256;1629;139;done;false;true
