Lib Caller, Lib Name
java.util.IdentityHashMap$EntryIterator$Entry_checkIndexForEntryUse.meth,java.lang.IllegalStateException_init_java.lang.String
java.util.EnumMap$EntryIterator$Entry_checkIndexForEntryUse.meth,java.lang.IllegalStateException_init_java.lang.String
java.nio.file.DirectoryIteratorException_getCause.meth,java.lang.Throwable_getCause
java.util.Arrays_rangeCheck_int_int_int.meth,java.lang.IllegalArgumentException_init_java.lang.String
java.util.Arrays_rangeCheck_int_int_int.meth,java.lang.ArrayIndexOutOfBoundsException_init_int
java.util.Arrays_rangeCheck_int_int_int.meth,java.lang.ArrayIndexOutOfBoundsException_init_int
java.io.BufferedInputStream_close.meth,java.util.concurrent.atomic.AtomicReferenceFieldUpdater_compareAndSet_java.lang.Object_java.lang.Object_java.lang.Object
java.io.BufferedInputStream_clinit.meth,java.util.concurrent.atomic.AtomicReferenceFieldUpdater_newUpdater_java.lang.Class_java.lang.Class_java.lang.String
java.io.OutputStream_write_byte_arr_int_int.meth,java.lang.NullPointerException_init
java.io.OutputStream_write_byte_arr_int_int.meth,java.lang.IndexOutOfBoundsException_init
java.io.ObjectOutputStream_clinit.meth,sun.security.action.GetBooleanAction_init_java.lang.String
java.io.ObjectOutputStream_clinit.meth,java.security.AccessController_native_doPrivileged_java.security.PrivilegedAction
java.io.FilterOutputStream_close.meth,java.lang.Throwable_addSuppressed_java.lang.Throwable
java.io.FilterOutputStream_close.meth,java.lang.Throwable_addSuppressed_java.lang.Throwable
java.io.OutputStreamWriter_close.meth,sun.nio.cs.StreamEncoder_close
java.io.InputStreamReader_close.meth,sun.nio.cs.StreamDecoder_close
java.io.FileOutputStream_access$000_java.io.FileOutputStream.meth,java.io.FileOutputStream_native_close0
java.io.FileOutputStream_clinit.meth,java.io.FileOutputStream_native_initIDs
java.io.FileInputStream_access$000_java.io.FileInputStream.meth,java.io.FileInputStream_native_close0
java.io.FileInputStream_clinit.meth,java.io.FileInputStream_native_initIDs
java.nio.channels.spi.AbstractSelector_close.meth,java.util.concurrent.atomic.AtomicBoolean_getAndSet_boolean
java.util.ArrayDeque_removeFirst.meth,java.util.NoSuchElementException_init
java.nio.file.FileTreeWalker_next.meth,java.lang.Throwable_addSuppressed_java.lang.Throwable
java.nio.file.FileTreeWalker_visit_java.nio.file.Path_boolean_boolean.meth,java.nio.file.FileSystemLoopException_init_java.lang.String
java.util.ArrayDeque_addFirst_java.lang.Object.meth,java.lang.NullPointerException_init
java.nio.file.FileTreeIterator_fetchNextIfNeeded.meth,java.io.UncheckedIOException_init_java.io.IOException
java.nio.file.Files$2_hasNext.meth,java.io.UncheckedIOException_init_java.io.IOException
java.util.Spliterators$IteratorSpliterator_tryAdvance_java.util.function.Consumer.meth,java.util.function.Consumer_accept_java.lang.Object
java.util.Vector$VectorSpliterator_tryAdvance_java.util.function.Consumer.meth,java.lang.NullPointerException_init
java.util.Vector$VectorSpliterator_tryAdvance_java.util.function.Consumer.meth,java.util.function.Consumer_accept_java.lang.Object
java.util.Vector$VectorSpliterator_tryAdvance_java.util.function.Consumer.meth,java.util.ConcurrentModificationException_init
java.util.WeakHashMap$KeySpliterator_tryAdvance_java.util.function.Consumer.meth,java.lang.NullPointerException_init
java.util.WeakHashMap$KeySpliterator_tryAdvance_java.util.function.Consumer.meth,java.lang.ref.Reference_get
java.util.WeakHashMap$KeySpliterator_tryAdvance_java.util.function.Consumer.meth,java.util.function.Consumer_accept_java.lang.Object
java.util.WeakHashMap$KeySpliterator_tryAdvance_java.util.function.Consumer.meth,java.util.ConcurrentModificationException_init
java.util.WeakHashMap$EntrySpliterator_tryAdvance_java.util.function.Consumer.meth,java.lang.NullPointerException_init
java.util.WeakHashMap$EntrySpliterator_tryAdvance_java.util.function.Consumer.meth,java.lang.ref.Reference_get
java.util.WeakHashMap$EntrySpliterator_tryAdvance_java.util.function.Consumer.meth,java.util.function.Consumer_accept_java.lang.Object
java.util.WeakHashMap$EntrySpliterator_tryAdvance_java.util.function.Consumer.meth,java.util.ConcurrentModificationException_init
java.util.WeakHashMap$ValueSpliterator_tryAdvance_java.util.function.Consumer.meth,java.lang.NullPointerException_init
java.util.WeakHashMap$ValueSpliterator_tryAdvance_java.util.function.Consumer.meth,java.lang.ref.Reference_get
java.util.WeakHashMap$ValueSpliterator_tryAdvance_java.util.function.Consumer.meth,java.util.function.Consumer_accept_java.lang.Object
java.util.WeakHashMap$ValueSpliterator_tryAdvance_java.util.function.Consumer.meth,java.util.ConcurrentModificationException_init
java.util.LinkedList$LLSpliterator_tryAdvance_java.util.function.Consumer.meth,java.lang.NullPointerException_init
java.util.LinkedList$LLSpliterator_tryAdvance_java.util.function.Consumer.meth,java.util.function.Consumer_accept_java.lang.Object
java.util.LinkedList$LLSpliterator_tryAdvance_java.util.function.Consumer.meth,java.util.ConcurrentModificationException_init
java.util.TreeMap$EntrySpliterator_tryAdvance_java.util.function.Consumer.meth,java.lang.NullPointerException_init
java.util.TreeMap$EntrySpliterator_tryAdvance_java.util.function.Consumer.meth,java.util.function.Consumer_accept_java.lang.Object
java.util.TreeMap$EntrySpliterator_tryAdvance_java.util.function.Consumer.meth,java.util.ConcurrentModificationException_init
java.util.TreeMap$KeySpliterator_tryAdvance_java.util.function.Consumer.meth,java.lang.NullPointerException_init
java.util.TreeMap$KeySpliterator_tryAdvance_java.util.function.Consumer.meth,java.util.function.Consumer_accept_java.lang.Object
java.util.TreeMap$KeySpliterator_tryAdvance_java.util.function.Consumer.meth,java.util.ConcurrentModificationException_init
java.util.TreeMap$ValueSpliterator_tryAdvance_java.util.function.Consumer.meth,java.lang.NullPointerException_init
java.util.TreeMap$ValueSpliterator_tryAdvance_java.util.function.Consumer.meth,java.util.function.Consumer_accept_java.lang.Object
java.util.TreeMap$ValueSpliterator_tryAdvance_java.util.function.Consumer.meth,java.util.ConcurrentModificationException_init
java.util.TreeMap$DescendingKeySpliterator_tryAdvance_java.util.function.Consumer.meth,java.lang.NullPointerException_init
java.util.TreeMap$DescendingKeySpliterator_tryAdvance_java.util.function.Consumer.meth,java.util.function.Consumer_accept_java.lang.Object
java.util.TreeMap$DescendingKeySpliterator_tryAdvance_java.util.function.Consumer.meth,java.util.ConcurrentModificationException_init
java.util.TreeMap$NavigableSubMap$SubMapKeyIterator_tryAdvance_java.util.function.Consumer.meth,java.util.function.Consumer_accept_java.lang.Object
java.util.TreeMap$NavigableSubMap$DescendingSubMapKeyIterator_tryAdvance_java.util.function.Consumer.meth,java.util.function.Consumer_accept_java.lang.Object
java.util.ArrayDeque$DeqSpliterator_tryAdvance_java.util.function.Consumer.meth,java.lang.NullPointerException_init
java.util.ArrayDeque$DeqSpliterator_tryAdvance_java.util.function.Consumer.meth,java.util.ConcurrentModificationException_init
java.util.ArrayDeque$DeqSpliterator_tryAdvance_java.util.function.Consumer.meth,java.util.function.Consumer_accept_java.lang.Object
java.nio.charset.Charset$1_getNext.meth,java.lang.Throwable_getCause
java.util.Spliterators$4Adapter_nextDouble.meth,java.util.NoSuchElementException_init
java.util.Spliterators$DoubleIteratorSpliterator_tryAdvance_java.util.function.DoubleConsumer.meth,java.util.function.DoubleConsumer_accept_double
java.util.Spliterators$DoubleArraySpliterator_tryAdvance_java.util.function.DoubleConsumer.meth,java.lang.NullPointerException_init
java.util.Spliterators$DoubleArraySpliterator_tryAdvance_java.util.function.DoubleConsumer.meth,java.util.function.DoubleConsumer_accept_double
java.util.Spliterators$3Adapter_nextLong.meth,java.util.NoSuchElementException_init
java.util.Spliterators$LongIteratorSpliterator_tryAdvance_java.util.function.LongConsumer.meth,java.util.function.LongConsumer_accept_long
java.lang.CharSequence$1CodePointIterator_nextInt.meth,java.util.NoSuchElementException_init
java.lang.AbstractStringBuilder_charAt_int.meth,java.lang.StringIndexOutOfBoundsException_init_int
java.lang.StringBuffer_charAt_int.meth,java.lang.StringIndexOutOfBoundsException_init_int
java.nio.Buffer_checkIndex_int_int.meth,java.lang.IndexOutOfBoundsException_init
java.lang.CharSequence$1CharIterator_nextInt.meth,java.util.NoSuchElementException_init
java.util.BitSet_nextSetBit_int.meth,java.lang.IndexOutOfBoundsException_init_java.lang.String
java.util.BitSet$1BitSetIterator_nextInt.meth,java.util.NoSuchElementException_init
java.util.Spliterators$2Adapter_nextInt.meth,java.util.NoSuchElementException_init
java.util.Spliterators$IntIteratorSpliterator_tryAdvance_java.util.function.IntConsumer.meth,java.util.function.IntConsumer_accept_int
java.util.Spliterators$IntArraySpliterator_tryAdvance_java.util.function.IntConsumer.meth,java.lang.NullPointerException_init
java.util.Spliterators$IntArraySpliterator_tryAdvance_java.util.function.IntConsumer.meth,java.util.function.IntConsumer_accept_int
java.nio.CharBufferSpliterator_tryAdvance_java.util.function.IntConsumer.meth,java.lang.NullPointerException_init
