Lib Caller, Lib Name
java.nio.charset.CoderResult_throwException.meth,java.nio.BufferOverflowException_init
java.nio.charset.CoderResult_throwException.meth,java.nio.charset.MalformedInputException_init_int
java.nio.charset.CoderResult_throwException.meth,java.nio.charset.UnmappableCharacterException_init_int
java.lang.StringCoding_warnUnsupportedCharset_java.lang.String.meth,sun.misc.MessageUtils_err_java.lang.String
java.lang.StringCoding_decode_byte_arr_int_int.meth,java.lang.Throwable_toString
java.lang.StringCoding_decode_byte_arr_int_int.meth,sun.misc.MessageUtils_err_java.lang.String
java.lang.StringCoding_decode_byte_arr_int_int.meth,java.lang.System_exit_int
java.lang.String_init_byte_arr_int_int_java.lang.String.meth,java.lang.NullPointerException_init_java.lang.String
java.util.Formatter_ensureOpen.meth,java.util.FormatterClosedException_init
java.util.Formatter_clinit.meth,java.util.regex.Pattern_compile_java.lang.String
java.util.Formatter_parse_java.lang.String.meth,java.util.regex.Pattern_matcher_java.lang.CharSequence
java.util.Formatter_parse_java.lang.String.meth,java.util.regex.Matcher_find_int
java.util.Formatter_parse_java.lang.String.meth,java.util.regex.Matcher_start
java.util.Formatter_parse_java.lang.String.meth,java.util.regex.Matcher_start
java.util.Formatter_checkText_java.lang.String_int_int.meth,java.util.UnknownFormatConversionException_init_java.lang.String
java.util.Formatter_parse_java.lang.String.meth,java.util.regex.Matcher_start
java.lang.String_substring_int_int.meth,java.lang.StringIndexOutOfBoundsException_init_int
java.lang.String_substring_int_int.meth,java.lang.StringIndexOutOfBoundsException_init_int
java.lang.String_substring_int_int.meth,java.lang.StringIndexOutOfBoundsException_init_int
java.util.Formatter$FormatSpecifier_init_java.util.Formatter_java.util.regex.Matcher.meth,java.util.regex.Matcher_group_int
java.lang.Integer_parseInt_java.lang.String_int.meth,java.lang.NumberFormatException_init_java.lang.String
java.lang.Integer_parseInt_java.lang.String_int.meth,java.lang.NumberFormatException_init_java.lang.String
java.lang.Integer_parseInt_java.lang.String_int.meth,java.lang.NumberFormatException_init_java.lang.String
java.lang.Integer_parseInt_java.lang.String_int.meth,java.lang.NumberFormatException_forInputString_java.lang.String
java.lang.Integer_parseInt_java.lang.String_int.meth,java.lang.NumberFormatException_forInputString_java.lang.String
java.lang.Integer_parseInt_java.lang.String_int.meth,java.lang.NumberFormatException_forInputString_java.lang.String
java.lang.Integer_parseInt_java.lang.String_int.meth,java.lang.NumberFormatException_forInputString_java.lang.String
java.lang.Integer_parseInt_java.lang.String_int.meth,java.lang.NumberFormatException_forInputString_java.lang.String
java.lang.Integer_parseInt_java.lang.String_int.meth,java.lang.NumberFormatException_forInputString_java.lang.String
java.util.Formatter$FormatSpecifier_init_java.util.Formatter_java.util.regex.Matcher.meth,java.util.regex.Matcher_group_int
java.lang.String_toCharArray.meth,java.lang.System_native_arraycopy_java.lang.Object_int_java.lang.Object_int_int
java.util.Formatter$Flags_parse_char.meth,java.util.UnknownFormatFlagsException_init_java.lang.String
java.util.Formatter$Flags_parse_java.lang.String.meth,java.util.DuplicateFormatFlagsException_init_java.lang.String
java.util.Formatter$FormatSpecifier_init_java.util.Formatter_java.util.regex.Matcher.meth,java.util.regex.Matcher_group_int
java.util.Formatter$FormatSpecifier_width_java.lang.String.meth,java.util.IllegalFormatWidthException_init_int
java.util.Formatter$FormatSpecifier_init_java.util.Formatter_java.util.regex.Matcher.meth,java.util.regex.Matcher_group_int
java.lang.String_substring_int.meth,java.lang.StringIndexOutOfBoundsException_init_int
java.lang.String_substring_int.meth,java.lang.StringIndexOutOfBoundsException_init_int
java.util.Formatter$FormatSpecifier_precision_java.lang.String.meth,java.util.IllegalFormatPrecisionException_init_int
java.util.Formatter$FormatSpecifier_init_java.util.Formatter_java.util.regex.Matcher.meth,java.util.regex.Matcher_group_int
java.util.Formatter$FormatSpecifier_init_java.util.Formatter_java.util.regex.Matcher.meth,java.util.regex.Matcher_group_int
java.util.Formatter$FormatSpecifier_conversion_java.lang.String.meth,java.util.UnknownFormatConversionException_init_java.lang.String
